D0:4D:C6:02:E5:C0,D0:4D:C6:02:95:61,D0:4D:C6:02:95:70,D0:D3:E0:B1:87:00,D0:4D:C6:02:47:F0,D0:4D:C6:02:47:E0,D0:4D:C6:02:C2:81,D0:4D:C6:01:E6:20,D0:4D:C6:02:C2:80,D0:4D:C6:01:E6:21,D0:4D:C6:02:D3:A0,D0:4D:C6:02:7E:50,00:4E:35:CF:97:B0,D0:D3:E0:B1:3A:71,D0:D3:E0:B1:3A:60,D0:4D:C6:02:C2:91,D0:4D:C6:02:7E:51,D0:4D:C6:02:C2:90,D0:4D:C6:01:E6:30,D0:4D:C6:02:7E:41,00:4E:35:CF:97:A1,D0:4D:C6:03:4D:51,D0:4D:C6:01:E6:31,00:4E:35:CF:97:B1,D0:4D:C6:02:7E:40,D0:4D:C6:02:47:E1,D0:D3:E0:B1:A0:00,D0:4D:C6:03:4D:41,D0:4D:C6:02:E5:C1,00:4E:35:CF:97:A0,00:4E:35:CF:2E:50,00:4E:35:CF:CE:20,D0:D3:E0:B1:3A:61,00:4E:35:CF:2E:51,D0:4D:C6:02:47:F1,00:4E:35:CF:2E:41,D0:4D:C6:02:95:60,40:E3:D6:24:25:32,D0:4D:C6:03:4D:40,40:E3:D6:24:25:33,D0:4D:C6:03:4D:50,D0:4D:C6:02:E5:D1,D0:D3:E0:B1:3A:70,D0:4D:C6:02:95:71,40:E3:D6:24:25:23,00:4E:35:CF:2E:40,D0:D3:E0:B1:87:01,D0:4D:C6:02:E5:D0,40:E3:D6:24:25:22,x,y
0,62,60,0,0,0,0,31,31,0,0,31,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,41,0,31,32,0,0,33,39,0,62,31,41,0,0,0,0,60,0,0,0,0,0,1,7
43,51,48,0,0,0,0,33,0,34,0,31,0,0,0,0,31,31,31,0,0,44,0,0,43,0,0,47,44,0,0,0,31,31,31,39,56,0,46,0,0,34,0,48,0,38,0,0,32,6,1
41,66,58,0,31,0,35,31,33,31,0,32,0,0,0,0,32,0,0,39,0,40,0,0,39,0,0,0,0,0,31,0,0,31,31,31,66,0,0,0,40,0,0,58,35,0,0,0,35,2,9
42,60,0,0,0,0,38,34,0,0,0,0,0,0,0,32,0,0,31,41,0,42,31,0,42,0,0,47,0,0,0,0,0,0,0,38,60,0,47,0,41,0,0,0,34,38,0,0,34,5,5
37,65,58,0,32,45,31,0,31,0,0,31,0,0,31,0,31,0,0,37,0,0,0,0,38,45,0,42,0,0,0,0,0,31,32,40,0,0,42,0,0,31,0,58,0,40,0,0,0,3,12
0,64,60,0,0,0,0,31,0,0,0,31,0,0,0,31,31,0,0,0,0,40,0,0,0,0,0,44,0,0,0,0,0,0,39,44,64,0,44,0,0,0,0,60,37,44,0,31,37,3,7
0,62,58,0,35,0,31,31,31,0,0,31,0,0,31,0,31,0,0,0,31,0,0,0,0,0,0,46,0,31,31,0,31,31,35,0,61,0,46,0,35,31,0,58,37,40,0,31,37,5,8
38,66,64,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0,33,31,0,0,0,0,45,0,43,0,31,33,0,31,0,0,43,66,0,43,0,0,0,0,64,34,43,0,0,0,4,11
44,64,57,0,0,37,0,37,39,37,0,34,0,0,31,35,34,0,31,42,31,42,31,0,42,37,0,50,44,31,0,0,31,0,31,36,63,0,50,0,42,36,0,57,34,36,0,34,34,3,3
36,54,61,0,37,0,0,31,31,31,0,31,0,0,31,31,31,0,0,39,31,36,0,0,37,0,0,0,0,31,33,0,31,32,36,38,54,0,45,0,36,0,0,61,35,38,0,0,35,5,11
0,58,59,0,31,0,0,0,0,0,0,31,0,0,31,31,31,0,0,0,31,35,0,0,0,0,0,42,0,31,32,0,31,33,31,38,58,0,42,0,0,0,0,59,0,38,0,0,0,3,11
46,53,51,0,0,0,38,35,0,35,0,35,31,0,31,0,35,31,31,0,33,40,31,31,0,0,0,49,45,34,32,0,0,31,34,39,53,0,49,0,0,0,0,51,0,0,0,33,33,10,1
44,55,57,0,31,0,38,35,38,35,0,31,0,0,0,33,31,0,31,42,31,43,31,0,42,0,0,52,44,0,0,0,31,31,31,37,55,0,51,0,43,0,0,57,36,37,0,0,0,6,3
43,57,55,0,37,33,31,31,31,31,0,33,31,0,31,0,34,31,31,45,31,43,31,0,45,41,0,44,43,32,0,0,31,31,37,34,57,0,44,0,43,37,0,55,31,39,0,0,31,2,2
0,68,59,0,36,45,31,31,31,0,0,0,0,0,0,0,31,31,0,34,31,32,0,0,34,45,0,43,0,31,33,0,31,0,36,41,68,0,44,0,32,0,0,59,39,41,0,31,0,3,11
0,62,61,0,31,42,31,31,31,31,0,32,0,0,0,0,32,0,0,0,31,41,0,0,0,0,0,44,44,31,31,0,0,32,0,41,62,0,44,0,41,31,0,0,0,41,0,0,0,2,10
43,54,52,0,33,36,35,31,35,31,0,31,0,0,31,31,31,0,0,40,0,41,0,0,40,0,0,44,43,0,0,0,31,0,33,32,54,0,44,0,41,0,0,51,35,32,0,0,35,10,5
39,70,58,0,33,43,31,31,31,31,0,31,0,0,0,31,31,31,31,36,31,0,31,0,36,43,0,0,0,0,35,0,0,31,36,37,70,0,44,0,0,31,0,57,39,37,0,32,38,1,12
42,66,0,0,35,42,31,31,31,31,0,31,0,0,0,31,31,0,0,39,0,38,0,0,43,42,0,0,42,0,31,0,0,0,36,42,66,0,0,0,38,0,0,0,34,42,0,31,33,2,8
44,52,49,0,33,0,35,32,35,32,0,33,0,0,0,0,33,0,31,42,31,43,0,0,42,0,0,50,0,31,0,0,32,0,0,35,52,0,50,0,0,0,0,49,32,35,0,0,31,8,3
44,57,52,0,34,36,35,34,36,34,0,33,0,0,31,0,32,31,31,44,31,44,31,0,44,36,0,52,44,31,31,0,31,31,34,40,57,0,51,0,44,35,0,52,33,40,0,35,32,8,4
45,60,0,0,32,0,0,0,36,33,0,32,0,0,0,31,32,31,31,41,31,37,0,31,41,0,0,48,45,31,0,0,0,0,32,38,60,0,48,0,36,36,0,64,0,38,0,0,33,4,4
42,59,59,0,39,0,35,0,35,35,0,31,0,0,31,0,31,0,31,0,31,43,31,0,0,44,0,46,0,31,0,0,31,0,39,0,59,0,46,0,43,0,0,60,36,0,0,0,35,5,3
0,67,0,0,33,0,0,38,0,38,0,0,0,0,31,34,0,34,0,43,0,39,0,0,0,0,0,51,0,0,31,0,31,31,0,39,67,0,50,0,39,40,0,0,0,39,0,40,0,3,1
0,58,59,0,38,42,0,0,0,0,0,31,0,0,0,0,31,0,0,0,31,38,0,0,38,42,0,36,0,31,0,0,0,31,0,38,58,31,36,31,0,31,0,59,36,37,0,0,36,5,10
40,67,56,0,36,45,31,0,31,0,0,31,0,0,0,0,31,0,0,0,31,38,31,0,39,0,0,47,40,31,0,0,0,31,36,39,67,0,47,31,38,35,0,56,35,43,0,0,34,4,8
35,64,60,0,35,34,31,0,31,31,0,31,0,0,31,0,31,31,0,36,31,36,0,0,36,0,0,40,36,31,0,0,31,31,36,37,64,0,38,0,35,31,0,60,32,38,0,0,33,2,9
35,58,56,0,34,0,33,31,0,31,0,31,0,0,31,0,31,0,0,0,0,32,0,0,0,0,0,41,35,0,31,0,31,31,34,38,58,0,41,0,0,36,0,56,34,38,0,31,35,4,9
40,60,60,0,0,0,31,0,32,31,0,0,0,0,31,0,0,0,31,37,0,36,31,0,0,0,0,43,0,0,31,0,31,31,0,36,60,0,42,0,36,31,0,59,37,36,0,31,37,2,12
46,0,0,0,0,39,36,32,36,0,0,0,0,0,31,0,36,0,31,0,31,0,31,0,0,0,0,47,46,31,0,0,31,31,0,0,63,0,48,0,43,0,0,46,34,37,0,0,34,4,1
0,59,58,0,31,38,0,33,0,33,0,35,0,0,0,34,0,0,0,41,0,0,0,0,41,38,0,52,47,31,31,0,0,31,31,41,59,0,52,0,41,39,0,58,32,41,0,39,32,1,3
44,49,55,0,0,37,32,33,32,33,0,0,0,0,31,0,36,0,31,0,31,0,0,0,43,37,0,51,44,31,0,0,31,0,31,37,49,0,51,0,0,37,0,55,0,37,0,36,0,9,2
44,57,59,0,31,45,40,36,40,38,0,34,0,31,0,0,32,0,0,46,32,39,0,0,46,40,0,48,44,32,0,0,31,31,31,36,57,0,49,0,38,33,0,59,31,35,0,33,31,7,2
44,57,51,0,34,37,0,32,35,33,0,34,0,0,31,0,34,0,31,0,32,44,31,0,39,0,0,47,0,32,0,0,31,0,31,37,57,0,0,0,45,0,0,51,0,37,0,34,0,3,3
43,53,51,0,33,38,35,33,35,0,0,0,31,0,31,31,0,0,31,42,31,42,31,31,42,38,0,48,43,31,0,0,31,0,34,37,53,0,48,0,42,34,0,51,33,0,0,0,32,8,1
44,54,48,31,32,0,38,35,39,35,0,0,0,0,31,0,0,0,0,0,0,45,0,0,46,0,0,51,44,0,31,0,0,31,32,41,54,0,0,0,45,0,0,48,35,41,31,0,35,12,2
46,53,0,0,33,0,0,35,39,35,0,0,0,0,31,33,37,0,31,38,0,0,31,0,38,40,0,50,46,0,31,0,31,31,33,0,53,0,0,0,0,33,0,54,34,0,0,33,34,8,3
0,63,60,0,0,40,31,0,31,0,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,40,0,46,0,31,0,0,0,0,0,38,63,0,46,0,39,31,0,59,0,38,0,31,0,5,12
0,61,57,0,35,42,34,31,33,31,0,32,0,0,31,0,32,0,31,41,31,41,31,0,41,0,0,46,45,31,0,0,31,0,35,37,61,0,46,0,0,35,31,56,34,36,0,0,35,2,1
47,61,0,0,34,0,0,31,33,31,0,34,0,0,0,0,34,0,31,42,0,43,31,0,42,0,0,47,47,31,31,0,0,31,33,36,61,0,47,0,43,0,0,60,33,36,0,0,0,3,6
42,57,49,0,34,0,39,34,38,34,0,34,31,31,31,34,34,0,31,39,31,44,31,31,0,0,0,50,42,31,0,0,31,31,34,38,57,0,55,0,44,37,31,49,0,0,0,0,0,11,1
35,63,62,0,31,0,0,0,31,0,0,0,0,0,0,0,0,31,0,41,0,33,0,0,40,0,0,0,35,0,31,0,0,31,0,42,63,0,0,0,33,31,0,62,38,42,0,31,38,5,6
43,66,55,0,35,0,32,31,32,31,0,31,0,0,0,0,31,0,0,37,0,40,0,0,37,0,0,43,0,0,31,0,0,31,35,36,70,0,43,0,40,0,0,55,0,40,0,0,0,1,11
44,52,52,0,32,37,0,37,0,38,0,32,31,0,0,0,32,0,31,0,0,44,0,31,0,37,0,49,0,31,0,0,0,0,32,36,52,0,49,0,44,36,0,52,33,35,0,0,34,7,2
0,63,62,0,0,40,36,0,36,31,0,32,31,0,31,0,32,0,31,0,0,0,31,0,44,0,0,46,0,0,0,0,31,0,0,37,62,0,46,0,39,0,0,62,0,36,0,0,0,3,1
38,67,60,0,0,43,0,0,0,0,0,31,0,0,0,0,0,0,0,36,31,37,0,0,36,44,0,40,0,0,31,0,0,31,34,36,66,0,41,0,0,0,0,60,36,36,0,0,36,5,9
37,62,60,0,34,42,31,31,31,31,0,31,0,0,31,31,31,0,0,37,31,38,0,0,36,42,0,42,39,31,31,0,31,0,33,34,62,31,42,31,38,34,0,59,33,34,0,31,33,2,7
0,59,57,0,31,0,33,0,32,31,0,0,0,0,31,0,0,0,31,0,0,41,31,0,0,0,0,45,0,0,31,0,31,31,0,42,59,0,0,0,41,0,0,57,38,42,0,31,37,2,11
38,0,51,0,0,40,41,38,42,38,0,0,0,0,31,35,0,35,31,39,31,43,0,0,39,40,0,51,38,31,31,0,0,31,32,42,0,0,51,0,0,38,0,50,31,42,0,0,31,11,3
0,65,59,0,0,0,31,31,31,31,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,43,0,31,0,0,0,32,0,40,65,0,47,0,0,0,0,59,40,40,0,31,40,2,11
40,54,53,0,31,39,38,35,37,35,0,37,0,0,31,0,37,0,0,43,34,40,0,0,0,38,0,50,0,34,31,0,31,0,31,40,54,0,50,0,40,0,0,53,32,40,0,32,32,10,1
45,54,54,31,0,0,37,36,36,36,0,36,31,0,32,31,32,0,0,45,31,42,31,31,0,0,0,47,46,31,0,0,32,0,35,43,54,0,46,0,45,36,0,54,0,0,0,0,32,12,1
